Filename,IoU
datasets/test/08chevySilverado32.jpg,0.6229661165
datasets/test/11hondaInsight3.jpg,0.3871778388
datasets/test/14hyundaiVeloster6.jpg,0.7121525246
datasets/test/24subaruForester33.jpg,0.4266992383
datasets/test/07chevyBlazer12.jpg,0.01579212506
datasets/test/06bmwX5-34.jpg,0.642962963
datasets/test/03audiA6-11.jpg,0.4901101446
datasets/test/28volkswagenJetta32.jpg,0
datasets/test/09fordFusionHybridTitanium10.jpg,0.4422200911
datasets/test/05bmwX4-11.jpg,0.6363931236
datasets/test/07chevyBlazer34.jpg,0.6732228896
datasets/test/07chevyBlazer35.jpg,0.2736655512
datasets/test/15lexusES31.jpg,0.2990101515
datasets/test/03audiA6-9.jpg,0.6109553188
datasets/test/19nissanAltima11.jpg,0.4544687351
datasets/test/05bmwX4-17.jpg,0.7338646909
datasets/test/11hondaInsight26.jpg,0.4485808463
datasets/test/18mercedesBenzG2.jpg,0.8422149449
datasets/test/25toyotaAvalon3.jpg,0.2745829503
datasets/test/12hondaPassport20.jpg,0.6306105608
datasets/test/25toyotaAvalon36.jpg,0.3941348974
datasets/test/15lexusES4.jpg,0.493917912
datasets/test/17mercedesBenzA19.jpg,0.7212373038
datasets/test/14hyundaiVeloster39.jpg,0.3360036312
datasets/test/05bmwX4-20.jpg,0.6604822738
datasets/test/19nissanAltima2.jpg,0.7952634298
datasets/test/09fordFusionHybridTitanium35.jpg,0.7047527321
datasets/test/22porscheCayenne3.jpg,0.4806385805
datasets/test/02acuraRDX24.jpg,0.6182620097
datasets/test/15lexusES26.jpg,0.6051461798
datasets/test/26toyotaRAV4-8.jpg,0.766924217
datasets/test/09fordFusionHybridTitanium6.jpg,0.6458112407
datasets/test/18mercedesBenzG14.jpg,0.6272300823
datasets/test/24subaruForester35.jpg,0.6539657292
datasets/test/30volvoV60-32.jpg,0.9224830776
datasets/test/05bmwX4-4.jpg,0.7399434463
datasets/test/08chevySilverado42.jpg,0.4941860465
datasets/test/06bmwX5-15.jpg,0.5834322484
datasets/test/20nissanLeafPlus24.jpg,0.5160296311
datasets/test/01acuraNSX6.jpg,0.5449423909
datasets/test/11hondaInsight13.jpg,0.8764723742
datasets/test/28volkswagenJetta8.jpg,0.4865050034
datasets/test/10fordTaurus8.jpg,0.4181301014
datasets/test/23subaruAscent24.jpg,0.6031337155
datasets/test/15lexusES1.jpg,0.7292895819
datasets/test/09fordFusionHybridTitanium29.jpg,0
datasets/test/21porsche911Speedster33.jpg,0
datasets/test/13hyundaiSantaFe33.jpg,0.6041210388
datasets/test/19nissanAltima28.jpg,0.3409669211
datasets/test/20nissanLeafPlus32.jpg,0.8798520288
datasets/test/21porsche911Speedster15.jpg,0
datasets/test/28volkswagenJetta21.jpg,0.7145078321
datasets/test/20nissanLeafPlus31.jpg,0.8012145506
datasets/test/21porsche911Speedster2.jpg,0.3393142871
datasets/test/30volvoV60-28.jpg,0.3893349741
datasets/test/07chevyBlazer5.jpg,0.7285958904
datasets/test/14hyundaiVeloster15.jpg,0.6066860378
datasets/test/10fordTaurus20.jpg,0.5461176718
datasets/test/03audiA6-28.jpg,0.5837311824
datasets/test/18mercedesBenzG19.jpg,0.7710852479
datasets/test/01acuraNSX13.jpg,0.3551875534
datasets/test/07chevyBlazer16.jpg,0.6589762745
datasets/test/09fordFusionHybridTitanium22.jpg,0.4750858723
datasets/test/06bmwX5-21.jpg,0.6292936165
datasets/test/25toyotaAvalon5.jpg,0.4086899961
datasets/test/20nissanLeafPlus6.jpg,0.5325245317
datasets/test/20nissanLeafPlus33.jpg,0.6647436609
datasets/test/11hondaInsight31.jpg,0
